customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
4678-DVQEO,Female,0.0,No,No,0.013888888888888888,Yes,No,DSL,No,No,No,Yes,No,No,0.0,Yes,Electronic check,0.33781094527363187,0.0038541426263558744
5125-CNDSP,Male,0.0,No,Yes,0.875,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,0.5,Yes,Bank transfer (automatic),0.22238805970149256,0.29657858296792056
0691-IFBQW,Female,1.0,No,No,0.6388888888888888,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,0.5,Yes,Electronic check,0.9129353233830846,0.5603507962150934
4992-LTJNE,Male,0.0,Yes,Yes,1.0,Yes,Yes,DSL,Yes,No,No,No,No,No,1.0,No,Bank transfer (automatic),0.3686567164179104,0.4575121163166397
2202-OUTMO,Female,0.0,Yes,No,0.4722222222222222,Yes,Yes,DSL,Yes,No,No,Yes,No,No,0.0,Yes,Bank transfer (automatic),0.42388059701492536,0.22903300253865683
0810-BDHAW,Female,0.0,Yes,Yes,0.3333333333333333,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,0.5,No,Electronic check,0.5985074626865672,0.2092776367412878
0229-LFJAF,Male,0.0,No,No,1.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,1.0,No,Bank transfer (automatic),0.5114427860696518,0.5642107085160397
7131-ZQZNK,Female,0.0,Yes,Yes,0.8333333333333334,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,1.0,No,Credit card (automatic),0.4139303482587065,0.41211631663974146
3442-ZHHCC,Male,0.0,No,No,0.9444444444444444,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,0.5,Yes,Credit card (automatic),0.5835820895522389,0.5774521117009
5726-CVNYA,Female,0.0,Yes,Yes,0.1111111111111111,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1.0,Yes,Mailed check,0.01592039800995026,0.014747288252942534
9871-ELEYA,Female,0.0,No,Yes,0.4722222222222222,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,1.0,No,Credit card (automatic),0.491542288557214,0.26777059773828754
4257-GAESD,Female,0.0,No,No,0.08333333333333333,No,No phone service,DSL,No,No,No,No,Yes,Yes,0.0,No,Credit card (automatic),0.26616915422885573,0.03229863835679667
5173-WXOQV,Male,0.0,Yes,No,0.027777777777777776,Yes,No,DSL,No,Yes,No,Yes,No,Yes,0.0,Yes,Mailed check,0.45721393034825875,0.014406877452111702
2040-OBMLJ,Male,0.0,No,No,0.4305555555555556,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,0.5,No,Credit card (automatic),0.6313432835820896,0.291928225248096
6286-ZHAOK,Female,0.0,Yes,Yes,0.2777777777777778,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.0,Yes,Bank transfer (automatic),0.07263681592039802,0.05638126009693053
3807-XHCJH,Female,0.0,Yes,Yes,0.013888888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.0,No,Electronic check,0.017412935323383085,0.00013847219016847442
3009-JWMPU,Male,0.0,No,No,0.8611111111111112,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,0.5,Yes,Electronic check,0.7810945273631841,0.7046618970690053
5671-RQRLP,Female,1.0,Yes,No,0.9722222222222222,Yes,Yes,Fiber optic,No,No,No,No,No,No,1.0,Yes,Credit card (automatic),0.5711442786069653,0.6222709439187629
1450-GALXR,Female,0.0,No,No,0.1388888888888889,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,0.0,Yes,Electronic check,0.7985074626865671,0.11994576505885068
8859-AXJZP,Male,0.0,Yes,Yes,0.5416666666666666,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1.0,Yes,Mailed check,0.055223880597014934,0.10212324024924994
3174-AKMAS,Female,0.0,Yes,No,0.6388888888888888,Yes,No,DSL,No,Yes,No,Yes,Yes,No,1.0,Yes,Credit card (automatic),0.45721393034825875,0.34510731594738053
3138-BKYAV,Male,0.0,No,No,0.08333333333333333,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,0.0,Yes,Electronic check,0.6676616915422885,0.05430994691899377
9926-PJHDQ,Female,0.0,Yes,Yes,1.0,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,1.0,Yes,Bank transfer (automatic),0.5825870646766169,0.6288541426263559
7382-DFJTU,Male,0.0,No,No,0.25,Yes,No,DSL,No,No,Yes,Yes,No,No,0.0,No,Credit card (automatic),0.36766169154228856,0.11992845603507962
2798-NYLMZ,Male,0.0,Yes,No,0.9861111111111112,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,1.0,Yes,Credit card (automatic),0.8985074626865671,0.876667435956612
4289-DTDKW,Male,0.0,Yes,No,0.5555555555555556,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,0.0,Yes,Electronic check,0.8263681592039801,0.4724555735056543
1820-TQVEV,Male,0.0,No,No,0.013888888888888888,Yes,No,Fiber optic,No,No,No,No,No,No,0.0,Yes,Electronic check,0.5104477611940298,0.0058562197092084005
2239-JALAW,Male,0.0,No,No,0.8055555555555556,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,0.5,Yes,Bank transfer (automatic),0.845771144278607,0.6922282483267943
4853-RULSV,Male,0.0,No,No,0.9722222222222222,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,1.0,Yes,Credit card (automatic),0.8532338308457711,0.8344507269789984
8098-TDCBU,Female,0.0,Yes,No,0.5833333333333334,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1.0,No,Electronic check,0.06965174129353234,0.12570966997461344
3551-GAEGL,Male,0.0,Yes,Yes,0.4722222222222222,No,No phone service,DSL,Yes,No,No,No,No,No,0.5,No,Bank transfer (automatic),0.12089552238805969,0.10614470343872606
4785-NKHCX,Male,1.0,No,No,0.06944444444444445,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.0,No,Bank transfer (automatic),0.017910447761194038,0.00869489960766213
3196-NVXLZ,Female,0.0,No,No,0.3472222222222222,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,0.0,Yes,Mailed check,0.6601990049751243,0.23877798292176322
6275-YDUVO,Female,0.0,No,No,0.027777777777777776,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,0.0,Yes,Mailed check,0.6761194029850747,0.018451419339949225
0036-IHMOT,Female,0.0,Yes,Yes,0.7638888888888888,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,0.5,Yes,Bank transfer (automatic),0.8502487562189055,0.6505827371336257
0115-TFERT,Male,0.0,Yes,No,0.2916666666666667,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,0.0,Yes,Electronic check,0.9248756218905473,0.26520886222017076
4178-EGMON,Male,0.0,Yes,No,0.9722222222222222,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,1.0,Yes,Credit card (automatic),0.6940298507462687,0.6886279713824139
4220-TINQT,Female,0.0,Yes,No,0.8472222222222222,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,0.0,Yes,Electronic check,0.8766169154228856,0.7768924532656358
5318-YKDPV,Male,0.0,Yes,Yes,0.5972222222222222,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,1.0,Yes,Credit card (automatic),0.6059701492537314,0.4093930302330948
7975-TZMLR,Male,0.0,No,No,0.6527777777777778,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,0.5,Yes,Electronic check,0.8442786069651741,0.5620240018462959
0295-QVKPB,Male,0.0,No,No,0.06944444444444445,Yes,No,DSL,No,No,Yes,Yes,Yes,No,0.0,Yes,Credit card (automatic),0.45472636815920403,0.034537272097853684
4335-BSMJS,Female,0.0,No,No,0.8611111111111112,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1.0,Yes,Credit card (automatic),0.07512437810945274,0.178300253865682
2311-QYMUQ,Female,0.0,Yes,Yes,0.2222222222222222,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,0.0,Yes,Credit card (automatic),0.7084577114427861,0.16287214401107777
3643-AHCFP,Male,1.0,Yes,No,0.09722222222222222,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,0.0,Yes,Bank transfer (automatic),0.7696517412935323,0.07218439879990769
9146-JRIOX,Female,0.0,Yes,Yes,0.19444444444444445,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.0,No,Mailed check,0.07263681592039802,0.0408089083775675
3104-OWCGK,Male,0.0,Yes,Yes,0.8333333333333334,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,0.5,No,Electronic check,0.7233830845771144,0.6271174705746595
5337-IIWKZ,Male,0.0,Yes,Yes,0.4722222222222222,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,0.0,Yes,Electronic check,0.2646766169154229,0.16429725363489497
9101-BWFSS,Female,0.0,Yes,No,0.6944444444444444,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,0.5,No,Electronic check,0.8985074626865671,0.6452688668359104
9650-VBUOG,Male,0.0,Yes,Yes,0.5277777777777778,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1.0,No,Credit card (automatic),0.06766169154228857,0.10906415878144474
3487-EARAT,Female,0.0,Yes,Yes,0.9722222222222222,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,0.5,No,Credit card (automatic),0.5557213930348258,0.6004500346180476
2672-TGEFF,Female,0.0,Yes,Yes,0.5138888888888888,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,0.0,Yes,Electronic check,0.7019900497512438,0.38330833141010845
9231-ZJYAM,Female,1.0,No,No,0.05555555555555555,Yes,No,Fiber optic,No,No,No,No,Yes,No,0.0,Yes,Electronic check,0.6029850746268656,0.03161781675513501
4250-WAROZ,Male,1.0,Yes,Yes,0.8333333333333334,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,0.0,Yes,Electronic check,0.746268656716418,0.6641760904684976
8184-WMOFI,Male,0.0,Yes,Yes,0.8611111111111112,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,0.5,No,Credit card (automatic),0.5288557213930348,0.5156358181398569
6982-SSHFK,Male,0.0,No,No,0.013888888888888888,Yes,No,DSL,No,No,No,No,No,No,0.0,No,Mailed check,0.2601990049751244,0.002954073390260789
6092-QZVPP,Male,0.0,No,No,0.5,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,0.0,Yes,Credit card (automatic),0.6064676616915423,0.32727325178859906
4625-LAMOB,Male,0.0,No,No,0.6111111111111112,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1.0,No,Credit card (automatic),0.021393034825870634,0.1023251788599123
0727-BMPLR,Female,1.0,No,No,0.7638888888888888,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,0.5,Yes,Electronic check,0.8134328358208955,0.6335679667666744
0392-BZIUW,Female,0.0,Yes,No,1.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,1.0,Yes,Credit card (automatic),0.8631840796019901,0.873644126471267
1038-ZAGBI,Female,0.0,Yes,Yes,0.16666666666666666,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.5,No,Bank transfer (automatic),0.01542288557213931,0.024324948072928686
6549-NNDYT,Female,0.0,No,No,0.18055555555555555,No,No phone service,DSL,Yes,No,No,No,No,No,0.0,Yes,Bank transfer (automatic),0.12537313432835823,0.0433071774751904
3027-ZTDHO,Male,0.0,No,No,0.013888888888888888,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,0.0,Yes,Electronic check,0.7129353233830846,0.008204477267482115
0422-OHQHQ,Female,0.0,Yes,Yes,0.20833333333333334,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.5,No,Mailed check,0.02288557213930349,0.031981306254327255
6916-HIJSE,Female,0.0,No,No,0.9027777777777778,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Bank transfer (automatic),0.6626865671641791,0.6277867528271405
2316-ESMLS,Female,0.0,Yes,Yes,0.16666666666666666,No,No phone service,DSL,Yes,No,No,Yes,No,No,0.5,No,Credit card (automatic),0.14825870646766168,0.04915185783521809
9778-OGKQZ,Male,0.0,Yes,No,1.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Credit card (automatic),0.7338308457711443,0.7804465728132932
7408-OFWXJ,Female,0.0,Yes,Yes,1.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,1.0,No,Credit card (automatic),0.7119402985074627,0.7490941610893145
6007-TCTST,Female,0.0,Yes,Yes,1.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Bank transfer (automatic),0.9706467661691542,0.975963535656589
2252-NKNSI,Male,0.0,No,Yes,0.7222222222222222,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,1.0,Yes,Mailed check,0.6656716417910449,0.5126990537733672
8713-IGZSO,Male,0.0,No,No,0.027777777777777776,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.0,No,Mailed check,0.06567164179104479,0.004984998846065083
7905-TVXTA,Female,0.0,No,No,0.06944444444444445,Yes,No,DSL,Yes,No,No,Yes,Yes,No,0.0,Yes,Electronic check,0.4587064676616915,0.03852411723978767
7695-PKLCZ,Female,0.0,No,No,0.9444444444444444,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1.0,No,Credit card (automatic),0.022388059701492536,0.16225478882991
2382-BCKQJ,Female,0.0,No,Yes,0.8611111111111112,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,0.5,Yes,Electronic check,0.8149253731343284,0.7379240710823909
8374-UULRV,Male,0.0,No,No,1.0,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,1.0,No,Credit card (automatic),0.6746268656716418,0.7259231479344564
2207-NHRJK,Male,0.0,No,No,0.013888888888888888,Yes,No,DSL,No,Yes,No,No,No,No,0.0,No,Electronic check,0.32388059701492533,0.0036925917378259863
3224-DFQNQ,Female,0.0,Yes,No,0.9166666666666666,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,0.5,No,Electronic check,0.7039800995024875,0.6784906531271636
5275-PMFUT,Male,0.0,Yes,Yes,1.0,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Credit card (automatic),0.46318407960199004,0.5424590353104085
4795-UXVCJ,Male,0.0,No,No,0.3611111111111111,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.5,No,Credit card (automatic),0.01542288557213931,0.05060004615739672
9777-IQHWP,Male,0.0,Yes,Yes,0.8888888888888888,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,1.0,No,Bank transfer (automatic),0.7477611940298508,0.6696861297022848
0947-MUGVO,Male,1.0,Yes,No,0.2777777777777778,Yes,No,Fiber optic,No,Yes,No,No,No,No,0.0,Yes,Electronic check,0.5512437810945274,0.1667089776136626
9944-HKVVB,Female,0.0,No,No,0.041666666666666664,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,0.0,Yes,Electronic check,0.7646766169154229,0.03330256173551811
4124-MMETB,Male,0.0,No,No,0.3055555555555556,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,0.0,Yes,Credit card (automatic),0.7601990049751244,0.24068197553657975
3671-SHRSP,Male,0.0,Yes,No,0.05555555555555555,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,0.0,Yes,Mailed check,0.6203980099502487,0.034658435264251095
0979-MOZQI,Male,0.0,Yes,No,0.8611111111111112,No,No phone service,DSL,No,No,No,Yes,Yes,No,1.0,Yes,Bank transfer (automatic),0.2064676616915423,0.26755711977844443
2732-ISEZX,Female,0.0,No,No,0.06944444444444445,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.0,Yes,Mailed check,0.022388059701492536,0.009866143549503808
3313-QKNKB,Male,0.0,Yes,No,0.8194444444444444,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,0.5,No,Electronic check,0.6696517412935323,0.5845661204708054
0323-XWWTN,Male,0.0,No,Yes,0.041666666666666664,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1.0,Yes,Mailed check,0.08109452736318407,0.01182206323563351
1937-OTUKY,Female,0.0,Yes,No,1.0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,1.0,Yes,Bank transfer (automatic),0.7955223880597015,0.807419801523194
1573-LGXBA,Male,0.0,Yes,Yes,0.7916666666666666,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,0.5,Yes,Credit card (automatic),0.7890547263681592,0.6438033694899608
1764-VUUMT,Male,0.0,No,Yes,0.9166666666666666,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1.0,No,Credit card (automatic),0.016915422885572132,0.1442764828063697
5073-WXOYN,Female,0.0,No,No,0.8333333333333334,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,0.0,Yes,Electronic check,0.32388059701492533,0.34717285945072696
4713-ZBURT,Male,0.0,No,Yes,0.625,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,1.0,No,Bank transfer (automatic),0.8104477611940298,0.5326044311100854
3050-GBUSH,Female,0.0,No,No,0.041666666666666664,No,No phone service,DSL,No,No,No,No,Yes,No,0.0,Yes,Credit card (automatic),0.16467661691542285,0.010979690745441958
0207-MDKNV,Female,0.0,No,No,0.20833333333333334,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,0.0,No,Electronic check,0.8641791044776119,0.18046965151165476
7876-AEHIG,Female,0.0,No,Yes,0.7083333333333334,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,0.5,No,Bank transfer (automatic),0.41691542288557215,0.35289637664435725
7945-HLKEA,Female,0.0,No,No,0.8333333333333334,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,0.5,No,Electronic check,0.4626865671641791,0.4639626125086545
9342-VNIMQ,Male,0.0,No,No,0.4583333333333333,Yes,Yes,DSL,No,Yes,No,No,No,No,0.0,Yes,Bank transfer (automatic),0.36218905472636814,0.18998384491114703
9851-KIELU,Male,0.0,No,No,0.1388888888888889,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,0.0,Yes,Electronic check,0.9139303482587064,0.1182206323563351
3523-BRGUW,Male,1.0,No,No,0.3611111111111111,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.5,No,Credit card (automatic),0.010447761194029858,0.05601200092314793
3908-BLSYF,Female,0.0,No,No,0.08333333333333333,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,0.0,No,Electronic check,0.6532338308457712,0.05524463420263097
3199-NPKCN,Female,0.0,Yes,No,0.9305555555555556,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,0.5,Yes,Electronic check,0.9253731343283582,0.864626125086545
5170-PTRKA,Female,0.0,Yes,Yes,0.6805555555555556,No,No phone service,DSL,Yes,No,No,Yes,No,No,0.5,Yes,Credit card (automatic),0.17462686567164176,0.20346180475421186
4661-NJEUX,Male,0.0,No,No,0.013888888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.0,Yes,Mailed check,0.017910447761194038,0.0001442418647588276
2123-AGEEN,Female,1.0,No,No,0.09722222222222222,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,0.0,Yes,Electronic check,0.6577114427860696,0.06818024463420264
1258-YMZNM,Female,1.0,No,No,0.375,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,0.5,Yes,Bank transfer (automatic),0.917910447761194,0.3275790445418878
0048-LUMLS,Male,0.0,Yes,Yes,0.5138888888888888,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,0.5,No,Credit card (automatic),0.7258706467661692,0.3725767366720517
7549-MYGPK,Female,0.0,Yes,Yes,0.875,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,0.0,Yes,Electronic check,0.8189054726368159,0.7150415416570506
5898-IGSLP,Male,0.0,Yes,Yes,0.4305555555555556,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,0.0,No,Electronic check,0.7069651741293532,0.32358642972536344
3804-RVTGV,Male,0.0,Yes,Yes,0.6944444444444444,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,0.0,Yes,Bank transfer (automatic),0.8517412935323383,0.576863604892684
6259-WJQLC,Male,1.0,No,No,0.4444444444444444,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,0.0,Yes,Credit card (automatic),0.6253731343283582,0.30007500576967455
9227-LUNBG,Female,0.0,No,No,0.013888888888888888,No,No phone service,DSL,No,No,No,No,No,No,0.0,No,Electronic check,0.06318407960199006,0.0006692822524809602
7997-EASSD,Female,0.0,Yes,No,0.875,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,0.5,Yes,Credit card (automatic),0.6263681592039801,0.5707708285252712
0730-KOAVE,Male,0.0,No,No,0.4166666666666667,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,0.0,Yes,Credit card (automatic),0.7567164179104477,0.3070505423494114
8975-SKGRX,Male,0.0,Yes,No,0.9861111111111112,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Bank transfer (automatic),0.9736318407960198,0.956813985691207
0678-RLHVP,Female,0.0,No,No,0.7361111111111112,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,1.0,No,Electronic check,0.8686567164179104,0.6535252711747057
4315-MURBD,Female,0.0,No,No,0.16666666666666666,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,0.0,Yes,Bank transfer (automatic),0.8024875621890548,0.12718093699515348
2267-FPIMA,Male,0.0,Yes,No,0.6944444444444444,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,0.0,Yes,Credit card (automatic),0.7577114427860697,0.5649780752365566
1051-GEJLJ,Female,0.0,No,No,0.027777777777777776,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.0,No,Mailed check,0.012437810945273632,0.0010096930533117932
9734-YWGEX,Female,0.0,No,No,0.125,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,0.0,No,Credit card (automatic),0.7965174129353234,0.10439649203784906
2719-BDAQO,Male,0.0,No,No,0.2361111111111111,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,0.0,No,Electronic check,0.7522388059701492,0.18542003231017773
5285-MVEHD,Female,0.0,Yes,No,0.7777777777777778,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,0.5,Yes,Credit card (automatic),0.8691542288557214,0.6981133164089545
0379-DJQHR,Male,0.0,Yes,Yes,0.9305555555555556,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,1.0,No,Credit card (automatic),0.6278606965174128,0.6207939072236326
0781-LKXBR,Male,1.0,No,No,0.125,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,0.0,Yes,Electronic check,0.818407960199005,0.10383106392799447
5543-QDCRY,Male,0.0,No,No,0.05555555555555555,Yes,No,DSL,No,No,No,No,Yes,No,0.0,Yes,Electronic check,0.3796019900497512,0.024930763904915762
0297-RBCSG,Male,0.0,No,No,0.2638888888888889,Yes,No,DSL,No,Yes,No,Yes,No,Yes,0.5,Yes,Bank transfer (automatic),0.4686567164179104,0.13997807523655664
4694-PHWFW,Female,0.0,No,Yes,0.1111111111111111,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.0,No,Mailed check,0.016915422885572132,0.01755135010385414
0835-JKADZ,Female,0.0,No,No,0.9861111111111112,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Electronic check,0.9253731343283582,0.9191495499653819
1907-UBQFC,Male,1.0,No,No,0.1388888888888889,Yes,No,Fiber optic,No,Yes,No,No,No,No,0.0,Yes,Electronic check,0.5432835820895522,0.07729633048696054
7508-SMHXL,Female,1.0,No,No,0.20833333333333334,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,0.0,No,Credit card (automatic),0.7039800995024875,0.1464920378490653
3865-YIOTT,Male,0.0,Yes,Yes,1.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,0.5,Yes,Bank transfer (automatic),0.8741293532338308,0.9034964228017539
5993-BQHEA,Male,0.0,No,No,0.16666666666666666,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.5,No,Credit card (automatic),0.017910447761194038,0.028640664666512806
6024-RUGGH,Male,0.0,Yes,Yes,1.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1.0,Yes,Bank transfer (automatic),0.06915422885572138,0.20541195476575122
6513-EECDB,Male,1.0,Yes,No,0.013888888888888888,Yes,Yes,Fiber optic,No,No,No,No,No,No,0.0,Yes,Electronic check,0.5502487562189055,0.006317793676436649
3956-CJUST,Female,1.0,No,No,0.3194444444444444,Yes,No,Fiber optic,Yes,No,No,No,No,No,0.0,Yes,Bank transfer (automatic),0.5686567164179105,0.18748557581352412
4079-WWQQQ,Male,0.0,No,No,1.0,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Bank transfer (automatic),0.4706467661691542,0.5525790445418878
6103-BOCOU,Female,0.0,No,No,0.3611111111111111,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,0.0,Yes,Electronic check,0.6213930348258707,0.25088852988691435
5149-TGWDZ,Female,0.0,No,No,0.2916666666666667,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,0.5,Yes,Mailed check,0.8587064676616916,0.256242787906762
7471-WNSUF,Male,0.0,Yes,No,0.8333333333333334,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.5,No,Bank transfer (automatic),0.058706467661691526,0.17160166166628205
8942-DBMHZ,Male,0.0,No,No,0.16666666666666666,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.0,No,Mailed check,0.021890547263681583,0.027296330486960535
4301-VVZKA,Male,0.0,Yes,No,0.2222222222222222,Yes,Yes,Fiber optic,No,No,No,No,No,No,0.0,Yes,Electronic check,0.5686567164179105,0.13507962150934688
9199-PWQVC,Female,0.0,Yes,No,0.875,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,0.5,Yes,Credit card (automatic),0.6114427860696517,0.5501211631663974
4824-GUCBY,Female,1.0,No,No,0.3055555555555556,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,0.0,No,Electronic check,0.6313432835820896,0.2079506115855066
5393-HJZSM,Female,0.0,Yes,Yes,0.4444444444444444,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,0.0,No,Bank transfer (automatic),0.5776119402985075,0.2752538656819755
7074-IEVOJ,Female,1.0,No,No,0.041666666666666664,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,0.0,Yes,Electronic check,0.6084577114427862,0.021492037849065313
9625-QSTYE,Female,0.0,No,No,0.18055555555555555,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,0.0,Yes,Electronic check,0.6258706467661692,0.10771982460189246
